date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:32	39909/39909	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Campaign-List-View.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Campaign-List-View.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:32	43045/43045	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Events.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Events.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:33	27855/27855	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/testimonial.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/testimonial.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:33	34007/34007	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/faq.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/faq.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:33	22856/22856	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/error.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/error.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:34	39215/39215	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/blog-1.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/blog-1.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:34	42357/42357	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/blog-large.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/blog-large.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:35	50549/50549	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/blog-details.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/blog-details.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:35	35252/35252	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/gallery-1.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/gallery-1.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:35	37661/37661	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/gallery-3.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/gallery-3.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:36	27284/27284	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/single-gallery.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/single-gallery.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:36	50882/50882	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/shop.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/shop.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:37	52751/52751	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/shop-single.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/shop-single.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
